date,fire_count,avg_frp
2016-07-10,12,3.589166666666667
2016-07-11,2,2.07
2016-07-12,3,1.3666666666666665
2016-07-13,5,2.1439999999999997
2016-07-14,2,2.66
2016-07-15,5,6.130000000000001
2016-07-16,21,2.7114285714285713
2016-07-17,14,2.4257142857142857
2016-07-18,5,1.8259999999999998
2016-07-19,5,1.748
2016-07-20,12,3.2274999999999996
2016-07-21,15,1.8606666666666667
2016-07-22,8,1.00125
2016-07-23,1,0.67
2016-07-24,0,0.0
2016-07-25,2,3.36
2016-07-26,4,3.6574999999999998
2016-07-27,4,2.41
2016-07-28,4,5.535
2016-07-29,8,1.685
2016-07-30,7,1.7685714285714287
2016-07-31,1,0.99
2016-08-01,15,4.058666666666666
2016-08-02,13,4.263846153846154
2016-08-03,5,2.492
2016-08-04,3,0.7033333333333333
2016-08-05,0,0.0
2016-08-06,10,1.9440000000000002
2016-08-07,20,3.091
2016-08-08,9,2.0288888888888885
2016-08-09,1,0.74
2016-08-10,1,4.28
2016-08-11,3,1.8166666666666667
2016-08-12,25,2.8168
2016-08-13,9,4.534444444444444
2016-08-14,3,0.6733333333333333
2016-08-15,3,2.2600000000000002
2016-08-16,3,3.66
2016-08-17,17,2.938823529411765
2016-08-18,1,2.23
2016-08-19,0,0.0
2016-08-20,0,0.0
2016-08-21,0,0.0
2016-08-22,5,2.65
2016-08-23,9,2.408888888888889
2016-08-24,5,3.3980000000000006
2016-08-25,6,1.2233333333333334
2016-08-26,3,3.9499999999999997
2016-08-27,18,4.844444444444445
2016-08-28,23,2.895217391304348
2016-08-29,5,2.66
2016-08-30,0,0.0
2016-08-31,1,6.35
2016-09-01,5,1.556
2016-09-02,10,1.9
2016-09-03,5,0.8960000000000001
2016-09-04,6,1.46
2016-09-05,0,0.0
2016-09-06,4,1.1
2016-09-07,20,4.566
2016-09-08,11,3.208181818181818
2016-09-09,8,2.715
2016-09-10,3,1.4033333333333333
2016-09-11,4,1.855
2016-09-12,5,1.658
2016-09-13,13,4.5515384615384615
2016-09-14,7,2.5414285714285714
2016-09-15,0,0.0
2016-09-16,5,0.944
2016-09-17,0,0.0
2016-09-18,7,2.057142857142857
2016-09-19,4,3.59
2016-09-20,4,2.62
2016-09-21,2,0.845
2016-09-22,1,4.07
2016-09-23,5,2.038
2016-09-24,12,3.9441666666666664
2016-09-25,14,1.9435714285714287
2016-09-26,5,1.7079999999999997
2016-09-27,6,1.7550000000000001
2016-09-28,9,1.6900000000000002
2016-09-29,23,2.2004347826086956
2016-09-30,6,1.2733333333333332
2016-10-01,5,1.144
2016-10-02,0,0.0
2016-10-03,9,4.111111111111111
2016-10-04,14,2.587857142857143
2016-10-05,14,1.6335714285714287
2016-10-06,2,4.215
2016-10-07,2,0.5549999999999999
2016-10-08,4,0.7275
2016-10-09,3,3.5700000000000003
2016-10-10,2,2.84
2016-10-11,0,0.0
2016-10-12,10,1.7630000000000003
2016-10-13,0,0.0
2016-10-14,0,0.0
2016-10-15,1,5.14
2016-10-16,7,2.544285714285714
2016-10-17,0,0.0
2016-10-18,3,2.223333333333333
2016-10-19,0,0.0
2016-10-20,1,2.35
2016-10-21,4,1.95
2016-10-22,4,1.1975
2016-10-23,0,0.0
2016-10-24,0,0.0
2016-10-25,0,0.0
2016-10-26,0,0.0
2016-10-27,3,1.0999999999999999
2016-10-28,0,0.0
2016-10-29,5,1.316
2016-10-30,9,2.448888888888889
2016-10-31,7,1.1771428571428573
2016-11-01,0,0.0
2016-11-02,0,0.0
2016-11-03,3,1.5833333333333333
2016-11-04,3,1.9166666666666667
2016-11-05,0,0.0
2016-11-06,0,0.0
2016-11-07,2,5.92
2016-11-08,3,7.759999999999999
2016-11-09,6,0.8466666666666667
2016-11-10,3,2.763333333333333
2016-11-11,0,0.0
2016-11-12,6,1.9416666666666667
2016-11-13,2,0.9
2016-11-14,1,0.67
2016-11-15,1,5.67
2016-11-16,7,2.777142857142857
2016-11-17,2,1.2
2016-11-18,0,0.0
2016-11-19,0,0.0
2016-11-20,0,0.0
2016-11-21,0,0.0
2016-11-22,0,0.0
2016-11-23,0,0.0
2016-11-24,1,0.98
2016-11-25,0,0.0
2016-11-26,0,0.0
2016-11-27,5,2.892
2016-11-28,0,0.0
2016-11-29,3,3.19
2016-11-30,7,0.8942857142857142
2016-12-01,1,0.7
2016-12-02,5,3.124
2016-12-03,1,1.22
2016-12-04,0,0.0
2016-12-05,1,2.1
2016-12-06,2,3.735
2016-12-07,5,2.134
2016-12-08,3,1.16
2016-12-09,4,1.265
2016-12-10,3,3.4333333333333336
2016-12-11,0,0.0
2016-12-12,0,0.0
2016-12-13,0,0.0
2016-12-14,0,0.0
2016-12-15,0,0.0
2016-12-16,2,3.305
2016-12-17,8,1.77375
2016-12-18,0,0.0
2016-12-19,0,0.0
2016-12-20,0,0.0
